  1.058714E-01 3.506E+01
  1.158714E-01 2.866E+01
  1.671561E-01 1.211E+01
  2.171369E-01 6.332E+00
  2.658576E-01 3.797E+00
  3.133603E-01 2.492E+00
  3.596851E-01 1.733E+00
  4.048707E-01 1.255E+00
  4.489543E-01 9.378E-01
  4.919712E-01 7.217E-01
  5.339557E-01 5.712E-01
  5.749405E-01 4.641E-01
  6.149571E-01 3.857E-01
  6.540358E-01 3.262E-01
  6.922056E-01 2.796E-01
  7.294946E-01 2.419E-01
  7.659296E-01 2.105E-01
  8.363401E-01 1.617E-01
  9.036329E-01 1.266E-01
  9.679893E-01 1.017E-01
  1.029578E+00 8.415E-02
  1.088555E+00 7.170E-02
  1.172439E+00 5.875E-02
  1.301114E+00 4.419E-02
  1.417420E+00 3.358E-02
  1.522893E+00 2.599E-02
  1.618838E+00 2.103E-02
  1.706368E+00 1.795E-02
  1.831252E+00 1.507E-02
  2.221256E+00 8.218E-03
  2.342671E+00 6.640E-03
  2.451900E+00 5.728E-03
  2.588634E+00 5.095E-03
  2.867632E+00 4.198E-03
  2.885191E+00 4.337E-03
  2.892754E+00 4.607E-03
  2.896910E+00 4.964E-03
  2.899951E+00 5.490E-03
  2.901943E+00 6.125E-03
  2.902929E+00 6.613E-03
  2.903908E+00 7.297E-03
  2.904881E+00 8.308E-03
  2.905846E+00 9.904E-03
  2.906805E+00 1.268E-02
  2.907758E+00 1.826E-02
  2.908704E+00 3.262E-02
  2.909643E+00 9.570E-02
  2.910576E+00 4.027E+00
  2.911503E+00 1.543E-01
  2.912424E+00 3.133E-02
  2.913338E+00 1.378E-02
  2.914247E+00 8.371E-03
  2.915149E+00 6.091E-03
  2.916045E+00 4.951E-03
  2.916935E+00 4.316E-03
  2.917819E+00 3.935E-03
  2.918697E+00 3.694E-03
  2.920436E+00 3.428E-03
  2.923846E+00 3.243E-03
  2.930404E+00 3.243E-03
  2.935870E+00 3.438E-03
  2.938886E+00 3.707E-03
  2.941098E+00 4.102E-03
  2.942550E+00 4.575E-03
  2.943269E+00 4.935E-03
  2.943984E+00 5.441E-03
  2.944694E+00 6.190E-03
  2.945400E+00 7.393E-03
  2.946102E+00 9.577E-03
  2.946799E+00 1.448E-02
  2.947492E+00 3.161E-02
  2.948181E+00 3.874E-01
  2.948865E+00 4.082E-02
  2.949545E+00 3.377E-03
  2.950222E+00 4.771E-04
  2.950894E+00 7.727E-05
  2.951562E+00 1.064E-04
  2.952225E+00 2.216E-04
  2.952885E+00 3.440E-04
  2.953541E+00 4.538E-04
  2.954193E+00 5.472E-04
  2.954841E+00 6.248E-04
  2.956126E+00 7.403E-04
  2.957395E+00 8.150E-04
  2.959270E+00 8.736E-04
  2.961719E+00 8.852E-04
  2.964701E+00 8.312E-04
  2.968166E+00 7.021E-04
  2.971514E+00 5.284E-04
  2.976325E+00 2.456E-04
  2.977362E+00 1.933E-04
  2.978387E+00 1.524E-04
  2.978895E+00 1.380E-04
  2.979401E+00 1.289E-04
  2.979903E+00 1.261E-04
  2.980403E+00 1.312E-04
  2.980900E+00 1.457E-04
  2.981395E+00 1.716E-04
  2.981886E+00 2.114E-04
  2.982375E+00 2.679E-04
  2.982862E+00 3.448E-04
  2.983345E+00 4.464E-04
  2.983826E+00 5.783E-04
  2.984305E+00 7.471E-04
  2.984781E+00 9.615E-04
  2.985254E+00 1.232E-03
  2.985725E+00 1.573E-03
  2.986193E+00 2.002E-03
  2.986658E+00 2.541E-03
  2.987122E+00 3.222E-03
  2.987582E+00 4.085E-03
  2.988040E+00 5.185E-03
  2.988496E+00 6.598E-03
  2.988949E+00 8.430E-03
  2.989400E+00 1.083E-02
  2.989849E+00 1.403E-02
  2.990295E+00 1.837E-02
  2.990739E+00 2.436E-02
  2.991180E+00 3.288E-02
  2.991619E+00 4.539E-02
  2.992056E+00 6.457E-02
  2.992490E+00 9.566E-02
  2.992922E+00 1.500E-01
  2.993352E+00 2.563E-01
  2.993780E+00 5.033E-01
  2.994205E+00 1.289E+00
  2.994629E+00 6.722E+00
  2.995050E+00 1.580E+02
  2.995468E+00 3.770E+00
  2.995885E+00 1.188E+00
  2.996299E+00 7.180E-01
  2.996712E+00 9.214E-01
  2.997122E+00 2.797E-01
  2.997530E+00 1.928E-01
  2.997936E+00 1.472E-01
  2.998340E+00 1.182E-01
  2.998742E+00 9.810E-02
  2.999142E+00 8.347E-02
  2.999539E+00 7.243E-02
  2.999935E+00 6.384E-02
  3.000329E+00 5.701E-02
  3.001110E+00 4.690E-02
  3.001883E+00 3.985E-02
  3.003029E+00 3.263E-02
  3.004158E+00 2.779E-02
  3.005636E+00 2.343E-02
  3.007443E+00 1.993E-02
  3.009554E+00 1.737E-02
  3.011603E+00 1.602E-02
  3.013266E+00 1.592E-02
  3.014245E+00 1.668E-02
  3.014890E+00 1.789E-02
  3.015210E+00 1.886E-02
  3.015528E+00 2.023E-02
  3.015845E+00 2.218E-02
  3.016161E+00 2.504E-02
  3.016475E+00 2.940E-02
  3.016787E+00 3.639E-02
  3.017098E+00 4.854E-02
  3.017408E+00 7.220E-02
  3.017716E+00 1.275E-01
  3.018023E+00 3.099E-01
  3.018328E+00 1.804E+00
  3.018632E+00 1.006E+01
  3.018935E+00 5.549E-01
  3.019236E+00 1.882E-01
  3.019535E+00 9.871E-02
  3.019834E+00 6.358E-02
  3.020130E+00 4.617E-02
  3.020426E+00 3.624E-02
  3.020720E+00 3.002E-02
  3.021013E+00 2.584E-02
  3.021304E+00 2.289E-02
  3.021594E+00 2.071E-02
  3.022171E+00 1.776E-02
  3.022742E+00 1.588E-02
  3.023588E+00 1.407E-02
  3.024974E+00 1.231E-02
  3.027653E+00 1.034E-02
  3.029712E+00 8.816E-03
  3.030466E+00 7.929E-03
  3.030963E+00 7.073E-03
  3.031209E+00 6.507E-03
  3.031455E+00 5.802E-03
  3.031700E+00 4.900E-03
  3.031943E+00 3.724E-03
  3.032186E+00 2.214E-03
  3.032428E+00 8.245E-04
  3.032668E+00 8.885E-03
  3.032907E+00 2.241E+01
  3.033146E+00 9.998E-02
  3.033383E+00 4.377E-02
  3.033620E+00 3.054E-02
  3.033855E+00 2.491E-02
  3.034089E+00 2.184E-02
  3.034323E+00 1.993E-02
  3.034786E+00 1.771E-02
  3.035474E+00 1.606E-02
  3.036602E+00 1.491E-02
  3.038357E+00 1.451E-02
  3.040471E+00 1.518E-02
  3.042100E+00 1.660E-02
  3.043288E+00 1.849E-02
  3.044255E+00 2.105E-02
  3.045016E+00 2.426E-02
  3.045578E+00 2.791E-02
  3.046134E+00 3.349E-02
  3.046500E+00 3.911E-02
  3.046683E+00 4.284E-02
  3.046864E+00 4.746E-02
  3.047045E+00 5.330E-02
  3.047225E+00 6.089E-02
  3.047405E+00 7.103E-02
  3.047584E+00 8.512E-02
  3.047762E+00 1.057E-01
  3.047939E+00 1.378E-01
  3.048116E+00 1.928E-01
  3.048292E+00 3.012E-01
  3.048467E+00 5.714E-01
  3.048642E+00 1.675E+00
  3.048816E+00 3.738E+01
  3.048989E+00 3.756E+00
  3.049162E+00 6.480E-01
  3.049333E+00 1.933E+00
  3.049505E+00 1.330E-01
  3.049675E+00 6.595E-02
  3.049845E+00 3.825E-02
  3.050015E+00 2.382E-02
  3.050183E+00 1.550E-02
  3.050351E+00 1.039E-02
  3.050519E+00 7.113E-03
  3.050685E+00 4.953E-03
  3.050851E+00 3.501E-03
  3.051017E+00 2.513E-03
  3.051182E+00 1.839E-03
  3.051346E+00 1.381E-03
  3.051509E+00 1.076E-03
  3.051672E+00 8.800E-04
  3.051835E+00 7.619E-04
  3.051996E+00 7.007E-04
  3.052158E+00 6.809E-04
  3.052318E+00 6.914E-04
  3.052478E+00 7.240E-04
  3.052796E+00 8.324E-04
  3.053736E+00 1.280E-03
  3.054503E+00 1.622E-03
  3.055106E+00 1.803E-03
  3.055553E+00 1.829E-03
  3.055848E+00 1.738E-03
  3.055995E+00 1.631E-03
  3.056141E+00 1.450E-03
  3.056287E+00 1.146E-03
  3.056432E+00 6.374E-04
  3.056577E+00 3.067E-04
  3.056721E+00 1.187E+03
  3.056864E+00 1.383E-02
  3.057007E+00 7.587E-03
  3.057150E+00 5.976E-03
  3.057292E+00 5.279E-03
  3.057433E+00 4.907E-03
  3.057715E+00 4.547E-03
  3.058133E+00 4.361E-03
  3.059092E+00 4.367E-03
  3.059895E+00 4.570E-03
  3.060290E+00 4.849E-03
  3.060551E+00 5.307E-03
  3.060681E+00 5.768E-03
  3.060811E+00 6.598E-03
  3.060939E+00 8.276E-03
  3.061068E+00 1.232E-02
  3.061196E+00 2.567E-02
  3.061324E+00 1.208E-01
  3.061451E+00 3.283E+00
  3.061577E+00 8.138E-02
  3.061704E+00 2.997E-02
  3.061830E+00 1.813E-02
  3.061955E+00 1.351E-02
  3.062080E+00 1.120E-02
  3.062204E+00 9.873E-03
  3.062329E+00 9.041E-03
  3.062452E+00 8.485E-03
  3.062698E+00 7.822E-03
  3.063064E+00 7.361E-03
  3.063785E+00 7.155E-03
  3.064723E+00 7.460E-03
  3.065523E+00 8.171E-03
  3.065971E+00 8.932E-03
  3.066304E+00 9.904E-03
  3.066524E+00 1.098E-02
  3.066633E+00 1.177E-02
  3.066742E+00 1.286E-02
  3.066851E+00 1.446E-02
  3.066960E+00 1.704E-02
  3.067067E+00 2.187E-02
  3.067175E+00 3.376E-02
  3.067282E+00 9.155E-02
  3.067389E+00 1.711E+00
  3.067496E+00 8.078E-03
  3.067602E+00 5.298E-04
  3.067708E+00 8.791E-04
  3.067813E+00 1.723E-03
  3.067919E+00 2.476E-03
  3.068023E+00 3.095E-03
  3.068128E+00 3.604E-03
  3.068336E+00 4.397E-03
  3.068645E+00 5.255E-03
  3.069455E+00 6.849E-03
  3.070342E+00 8.611E-03
  3.070920E+00 1.027E-02
  3.071298E+00 1.188E-02
  3.071579E+00 1.359E-02
  3.071858E+00 1.606E-02
  3.072042E+00 1.843E-02
  3.072224E+00 2.177E-02
  3.072316E+00 2.402E-02
  3.072406E+00 2.682E-02
  3.072497E+00 3.042E-02
  3.072587E+00 3.516E-02
  3.072677E+00 4.165E-02
  3.072766E+00 5.096E-02
  3.072856E+00 6.518E-02
  3.072945E+00 8.901E-02
  3.073034E+00 1.360E-01
  3.073122E+00 3.229E-01
  3.073210E+00 5.915E-01
  3.073298E+00 3.035E+00
  3.073386E+00 8.845E+00
  3.073473E+00 5.424E-01
  3.073561E+00 1.589E-01
  3.073647E+00 6.882E-02
  3.073734E+00 3.567E-02
  3.073820E+00 2.046E-02
  3.073906E+00 1.251E-02
  3.073992E+00 7.992E-03
  3.074078E+00 5.272E-03
  3.074163E+00 3.568E-03
  3.074248E+00 2.473E-03
  3.074333E+00 1.759E-03
  3.074417E+00 1.291E-03
  3.074502E+00 9.872E-04
  3.074586E+00 7.947E-04
